school_name,school_id,province,department,zone,is_self_line_34,is_double_first_class,has_graduate_school,yz_detail_url,yz_contact_url,yz_detail_page_status,yz_detail_error,yz_brochure_url,yz_notice_url,official_site_url,external_site_candidates,contact_page_status,contact_page_title,source_list_url,fetched_at,contact_error
北京语言大学,367864,北京,教育部,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367864.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367864,categoryId-440037.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367864,categoryId-10460820,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10032&ssdm=11,https://www.blcu.edu.cn/,https://www.blcu.edu.cn/,200,北京语言大学_院校信息_中国研究生招生信息网,https://www.blcu.edu.cn/,2026-04-26T13:34:31.629722+00:00,
中国传媒大学,367876,北京,教育部,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367876.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367876,categoryId-440980.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367876,categoryId-10460822,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10033&ssdm=11,https://www.cuc.edu.cn/,https://www.cuc.edu.cn/,200,中国传媒大学_院校信息_中国研究生招生信息网,https://www.cuc.edu.cn/,2026-04-26T13:34:27.267747+00:00,
中央财经大学,367866,北京,教育部,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367866.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367866,categoryId-479086.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367866,categoryId-10460824,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10034&ssdm=11,https://www.cufe.edu.cn/,https://www.cufe.edu.cn/,200,中央财经大学_院校信息_中国研究生招生信息网,https://www.cufe.edu.cn/,2026-04-26T13:34:26.589262+00:00,
对外经济贸易大学,367897,北京,教育部,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367897.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367897,categoryId-472021.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367897,categoryId-10460826,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10036&ssdm=11,https://www.uibe.edu.cn/,https://www.uibe.edu.cn/,200,对外经济贸易大学_院校信息_中国研究生招生信息网,https://www.uibe.edu.cn/,2026-04-26T13:34:26.578936+00:00,
北京物资学院,367868,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367868.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367868,categoryId-440353.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367868,categoryId-10460828,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10037&ssdm=11,https://www.bwu.edu.cn/,https://www.bwu.edu.cn/,200,北京物资学院_院校信息_中国研究生招生信息网,https://www.bwu.edu.cn/,2026-04-26T13:34:27.157186+00:00,
首都经济贸易大学,367927,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367927.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367927,categoryId-445288.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367927,categoryId-10461951,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10038&ssdm=11,https://www.cueb.edu.cn/,https://www.cueb.edu.cn/,200,首都经济贸易大学_院校信息_中国研究生招生信息网,https://www.cueb.edu.cn/,2026-04-26T13:34:29.176786+00:00,
外交学院,367887,北京,外交部,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367887.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367887,categoryId-441821.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367887,categoryId-10460830,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10040&ssdm=11,https://www.cfau.edu.cn/,https://www.cfau.edu.cn/,200,外交学院_院校信息_中国研究生招生信息网,https://www.cfau.edu.cn/,2026-04-26T13:34:27.732398+00:00,
中国人民公安大学,367870,北京,公安部,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367870.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367870,categoryId-474271.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367870,categoryId-10460832,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10041&ssdm=11,https://www.ppsuc.edu.cn/,https://www.ppsuc.edu.cn/,200,中国人民公安大学_院校信息_中国研究生招生信息网,https://www.ppsuc.edu.cn/,2026-04-26T13:34:27.802338+00:00,
国际关系学院,367871,北京,教育部,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367871.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367871,categoryId-440562.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367871,categoryId-10460834,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10042&ssdm=11,,,200,国际关系学院_院校信息_中国研究生招生信息网,https://yz.chsi.com.cn/sch/?start=20,2026-04-26T13:34:27.999505+00:00,
北京体育大学,367872,北京,国家体育总局,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367872.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367872,categoryId-440664.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367872,categoryId-10460836,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10043&ssdm=11,https://www.bsu.edu.cn/,https://www.bsu.edu.cn/,200,北京体育大学_院校信息_中国研究生招生信息网,https://www.bsu.edu.cn/,2026-04-26T13:34:28.354161+00:00,
