department,faculty_page_url
建筑与城市规划学院,https://caup.bjut.edu.cn/yjsjy/dsjs1/xsxwsssds.htm
建筑与城市规划学院,https://caup.bjut.edu.cn/yjsjy/dsjs1/zyxwsssds.htm
城市交通学院,https://cmt.bjut.edu.cn/sddw/dsdw1/bssds.htm
城市交通学院,https://cmt.bjut.edu.cn/sddw/dsdw1/cyds.htm
城市交通学院,https://cmt.bjut.edu.cn/sddw/dsdw1/sssds.htm
城市交通学院,https://cmt.bjut.edu.cn/sddw/dwgk.htm
城市交通学院,https://cmt.bjut.edu.cn/sddw/jsjs.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/dwgk.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/jsjs1.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/jsjs1/hjgcx.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/jsjs1/hjkxx.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/jxms.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/ljrc.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/zlkxj.htm
环境科学与工程学院,https://cese.bjut.edu.cn/szdw/zyrc.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/dwgk.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/jsjs.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/jsjs/hxx.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/jsjs/swx.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/jsjs/swyxgcx.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/jsjs/syzx.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/jxms.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/jxms/bjsgdxxjxms.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/ljrc.htm
化学与生命科学学院,https://hsxy.bjut.edu.cn/szdw/zyrc.htm
物理与光电工程学院,https://spoe.bjut.edu.cn/szdw/dsdw/bssds.htm
物理与光电工程学院,https://spoe.bjut.edu.cn/szdw/dsdw/sssds.htm
物理与光电工程学院,https://spoe.bjut.edu.cn/szdw/jbgk.htm
物理与光电工程学院,https://spoe.bjut.edu.cn/szdw/jggcyjy.htm
物理与光电工程学院,https://spoe.bjut.edu.cn/szdw/wljxyjzx.htm
物理与光电工程学院,https://spoe.bjut.edu.cn/szdw/wlx.htm
数学统计学与力学学院,https://msm.bjut.edu.cn/szdw1/dsdw/bssds.htm
数学统计学与力学学院,https://msm.bjut.edu.cn/szdw1/dsdw/cyds.htm
数学统计学与力学学院,https://msm.bjut.edu.cn/szdw1/dsdw/sssds.htm
数学统计学与力学学院,https://msm.bjut.edu.cn/szdw1/js1/apysx.htm
数学统计学与力学学院,https://msm.bjut.edu.cn/szdw1/gccrc.htm
数学统计学与力学学院,https://msm.bjut.edu.cn/szdw1/js1/azyfl.htm
社会学院,https://fhss.bjut.edu.cn/szdw/jsjs/shxx.htm
社会学院,https://fhss.bjut.edu.cn/szdw/szgk.htm
社会学院,https://fhss.bjut.edu.cn/yjspy/dsdw.htm
社会学院,https://fhss.bjut.edu.cn/yjspy/dsdw/xsxwbsyjsds.htm
社会学院,https://fhss.bjut.edu.cn/yjspy/dsdw/xsxwssyjsds.htm
社会学院,https://fhss.bjut.edu.cn/yjspy/dsdw/zyxwssyjsds.htm
社会学院,https://fhss.bjut.edu.cn/szdw/jsjs/shgzx.htm
外国语学院,https://cfl.bjut.edu.cn/szdw/dsdw.htm
外国语学院,https://cfl.bjut.edu.cn/szdw/jsmd.htm
外国语学院,https://cfl.bjut.edu.cn/szdw/ddzj.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/dsdw1/xsxwbssds.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/dsdw1/xsxwsssds.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/dsdw1/zyxwsssds1.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/szxq.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/bshzp.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/dsdw1/zcwj.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/rcyj1/gccrczp.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/rcyj1/gkzpxx.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/szxq/axpx.htm
经济与管理学院,https://jjyglxy.bjut.edu.cn/szdw/szxq/azcpx.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/dyjys.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/mkszyyljys.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/xjpxsdzgtsshzysxgljys.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/xsyzcjys.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/yjssxzzllkjys.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/zgjxdsjys.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/zgtsshzyjys.htm
马克思主义学院,https://marx.bjut.edu.cn/szdw/zhbgs.htm
艺术设计学院,https://bjiad.bjut.edu.cn/szdw/jsdw.htm
艺术设计学院,https://bjiad.bjut.edu.cn/szdw/szgk.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/sljs_zf_.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/szjs_zf_.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/yyjs_wj_1.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/yyjs_zf_.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/zykjs_UCDpqjs_.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/zykjs_zf_.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/szjs_zf_/1.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/zykjs_UCDpqjs_/1.htm
北京-都柏林国际学院,https://bdic.bjut.edu.cn/szdw/zykjs_zf_/1.htm
樊恭烋荣誉学院,https://fgx-hc.bjut.edu.cn/szdu/dsjs.htm
樊恭烋荣誉学院,https://fgx-hc.bjut.edu.cn/szdu/gccrc.htm
碳中和未来技术学院,https://cnft.bjut.edu.cn/szdw1/dsjs.htm
碳中和未来技术学院,https://cnft.bjut.edu.cn/szdw1/szgk.htm
碳中和未来技术学院,https://cnft.bjut.edu.cn/szdw1/gccrc.htm
北京人工智能研究院,https://biai.bjut.edu.cn/szdw/jsdw.htm
北京人工智能研究院,https://biai.bjut.edu.cn/szdw/szgk.htm
北京人工智能研究院,https://biai.bjut.edu.cn/szdw/yxrc.htm
智能感知与自主控制教育部工程中心,https://biai.bjut.edu.cn/szdw/jsdw.htm
智能感知与自主控制教育部工程中心,https://biai.bjut.edu.cn/szdw/szgk.htm
智能感知与自主控制教育部工程中心,https://biai.bjut.edu.cn/szdw/yxrc.htm
实验中心,https://bjiad.bjut.edu.cn/szdw/jsdw.htm
实验中心,https://bjiad.bjut.edu.cn/szdw/szgk.htm
艺术与美育研究中心,https://bjiad.bjut.edu.cn/szdw/jsdw.htm
艺术与美育研究中心,https://bjiad.bjut.edu.cn/szdw/szgk.htm
建筑学系,https://caup.bjut.edu.cn/szdw1/ghxjs.htm
建筑学系,https://caup.bjut.edu.cn/szdw1/jzxjs.htm
建筑学系,https://caup.bjut.edu.cn/yjsjy/dsjs1/xsxwbssds.htm
建筑学系,https://caup.bjut.edu.cn/yjsjy/dsjs1/xsxwsssds.htm
建筑学系,https://caup.bjut.edu.cn/yjsjy/dsjs1/zyxwsssds.htm
城乡规划系,https://caup.bjut.edu.cn/szdw1/ghxjs.htm
城乡规划系,https://caup.bjut.edu.cn/szdw1/jzxjs.htm
城乡规划系,https://caup.bjut.edu.cn/yjsjy/dsjs1/xsxwbssds.htm
城乡规划系,https://caup.bjut.edu.cn/yjsjy/dsjs1/xsxwsssds.htm
城乡规划系,https://caup.bjut.edu.cn/yjsjy/dsjs1/zyxwsssds.htm
