school_name,department,teacher_name,title,research_fields,teacher_unit,email,teacher_profile_url,source_url,source_section,confidence,extract_method
北京工业大学,机械与能源工程学院,郑刚,,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1106/1333.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,郭军,,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1106/1337.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,郭翔鹰,博士生导师；硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3268.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,郭航,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1426/7818.htm,https://jxny.bjut.edu.cn/szdw/dlgcjgcrwl.htm,动力工程及工程热物理,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,郭铁能,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1108/1287.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,钱霙婧,博士生导师；硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3237.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,闫俊,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1160/2470.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,闫志鸿,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1108/1280.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,闫朝阳,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/15514.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,闫胤洲,博士生导师,,机械与能源工程学院,,https://spoe.bjut.edu.cn/info/1180/1699.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
